Feature,Importance
PPE,0.1456171030877263
spread1,0.1295724263606565
spread2,0.1134287814620192
MDVP:Fo(Hz),0.09089660731889526
RPDE,0.07365521608512039
MDVP:APQ,0.05719692149456389
MDVP:Fhi(Hz),0.04489878534131268
MDVP:Jitter(Abs),0.04183648675007072
MDVP:Jitter(%),0.04176581927609834
MDVP:Flo(Hz),0.035352267380230014
NHR,0.02678108556598104
D2,0.025161410877017103
Jitter:DDP,0.022011328715316383
MDVP:RAP,0.021698168977176316
DFA,0.02163409738095602
MDVP:Shimmer,0.021107456830345043
HNR,0.01970275554859678
Shimmer:APQ5,0.017409559645012087
MDVP:PPQ,0.01678013496606251
Shimmer:APQ3,0.013127367229932133
MDVP:Shimmer(dB),0.010744089508565998
Shimmer:DDA,0.00962213019834532
